hyperparameter,FAKE precision,FAKE recall,FAKE f1-score,REAL precision,REAL recall,REAL f1-score,accuracy,macro avg precision,macro avg recall,macro avg f1-score,weighted avg precision,weighted avg recall,weighted avg f1-score
{'Case_Folding': False},0.49169973066720696,0.4899142459937873,0.49041713528698444,0.6083477119500247,0.6100868691439167,0.6089228011353928,0.5577754415475189,0.5500237213086158,0.550000557568852,0.5496699682111886,0.5583605970491035,0.5577754415475189,0.557728802939934
{'Case_Folding': True},0.49632889848696166,0.49638846718654767,0.495923902643179,0.6122899719519699,0.6124067363672793,0.612022280214674,0.5618106452000481,0.5543094352194657,0.5543976017769134,0.5539730914289265,0.5626027142857101,0.5618106452000481,0.5618308874318774
{'Punctuation': True},0.4966111732897844,0.49638846718654767,0.4960677930710029,0.6124534845881302,0.6128387018100439,0.6123220812945261,0.5620545476390725,0.5545323289389573,0.5546135844982957,0.5541949371827646,0.5628179319139417,0.5620545476390725,0.5620628103376148
{'Punctuation': False},0.496494028507424,0.49942875101050277,0.4975607040584845,0.613092117763594,0.6105215511975086,0.6115055657155541,0.5620509431695302,0.554793073135509,0.5549751511040057,0.5545331348870193,0.5631325776038381,0.5620509431695302,0.5622455308007808
{'Stop_Word_Removal': True},0.49392474762752636,0.49494326964413327,0.49398567337004223,0.6102687639026894,0.6093529601063554,0.6094658524151129,0.5596179262285234,0.5520967557651079,0.5521481148752443,0.5517257628925776,0.5603677525294115,0.5596179262285234,0.5595996326850637
{'Stop_Word_Removal': False},0.4965893151536283,0.49666394928021157,0.49619164026031415,0.612519329750135,0.6126255547480233,0.6122462443804074,0.5620545476390725,0.5545543224518816,0.5546447520141173,0.5542189423203608,0.5628458213146874,0.5620545476390725,0.5620742293571948
{'Famous_People': True},0.4984052241149008,0.4985456941098541,0.4980124019233577,0.6138851742989355,0.6139642969030997,0.6135825112851414,0.5635299771716928,0.5561451992069181,0.556254995506477,0.5557974566042495,0.5644056807278552,0.5635299771716928,0.5635704893598674
{'Famous_People': False},0.49632889848696166,0.49638846718654767,0.495923902643179,0.6122899719519699,0.6124067363672793,0.612022280214674,0.5618106452000481,0.5543094352194657,0.5543976017769134,0.5539730914289265,0.5626027142857101,0.5618106452000481,0.5618308874318774
{'nGramList': [1]},0.49632889848696166,0.49638846718654767,0.495923902643179,0.6122899719519699,0.6124067363672793,0.612022280214674,0.5618106452000481,0.5543094352194657,0.5543976017769134,0.5539730914289265,0.5626027142857101,0.5618106452000481,0.5618308874318774
{'nGramList': [2]},0.5215819243420644,0.4989119621492631,0.5096759075317661,0.6267445225841015,0.6478012777116896,0.6368710521497465,0.5831581160639193,0.574163223463083,0.5733566199304764,0.5732734798407563,0.5816835677967309,0.5831581160639193,0.5819433374306813
{'nGramList': [3]},0.5457666714779043,0.5064320967403999,0.5250764493263593,0.639998146739262,0.6756967756697725,0.6571500331112452,0.6020797789258681,0.5928824091085831,0.5910644362050862,0.5911132412188023,0.5996663569685677,0.6020797789258681,0.6000284355972755
{'nGramList': [5]},0.5564068551984069,0.5062015528779991,0.5298541494244203,0.64428379487115,0.6890563507942893,0.6657277098602273,0.6096515679442509,0.6003453250347784,0.5976289518361442,0.5977909296423238,0.6067025229923196,0.6096515679442509,0.607009509876864
"{'nGramList': [1, 2, 3, 4, 5]}",0.5566970772180029,0.4819584045871983,0.5163610975910058,0.6387179281194852,0.704822920853997,0.6699576214809222,0.608056590171813,0.5977075026687442,0.5933906627205977,0.5931593595359639,0.6036767723722378,0.608056590171813,0.6035475932790642
"{'nGramList': [2, 3, 5]}",0.5489546601826713,0.48621951220968856,0.515351910807247,0.6365116165097028,0.6925345437393746,0.6631201593552174,0.6029226240538267,0.5927331383461871,0.5893770279745316,0.5892360350812322,0.599078843023207,0.6029226240538267,0.5992310582877756
{'Negation_Words': True},0.4948459860978282,0.4951363991377545,0.49454786723474975,0.6109638313950496,0.6107447287675738,0.6105190783651065,0.5604571668869398,0.5529049087464388,0.5529405639526641,0.552533472799928,0.561182187284211,0.5604571668869398,0.560434050831857
{'Negation_Words': False},0.49646553268609583,0.49666394928021157,0.4961261376079937,0.6124244230750322,0.6124067363672793,0.6120863058450126,0.5619325964195603,0.554444977880564,0.5545353428237454,0.5541062217265031,0.5627381318192773,0.5619325964195603,0.5619560959749169
{'Average_Word_Length': True},0.4977543363515441,0.49605028795333694,0.4964931184456217,0.6132029014163785,0.6150136320344995,0.6138021180927986,0.5631497056349873,0.5554786188839613,0.5555319599939181,0.5551476182692101,0.563738418517907,0.5631497056349873,0.5630905768860937
{'Average_Word_Length': False},0.49632889848696166,0.49638846718654767,0.495923902643179,0.6122899719519699,0.6124067363672793,0.612022280214674,0.5618106452000481,0.5543094352194657,0.5543976017769134,0.5539730914289265,0.5626027142857101,0.5618106452000481,0.5618308874318774
