Feature,Mutual Information
annies,2.6027004801270066
group,2.6027004801270066
trimester,2.6027004801270066
<s> <s> says the annies,2.6027004801270066
<s> says the annies list,2.6027004801270066
says the annies list political,2.6027004801270066
the annies list political group,2.6027004801270066
annies list political group supports,2.6027004801270066
list political group supports third,2.6027004801270066
political group supports third trimester,2.6027004801270066
group supports third trimester abortions,2.6027004801270066
supports third trimester abortions on,2.6027004801270066
third trimester abortions on demand,2.6027004801270066
trimester abortions on demand </s>,2.6027004801270066
abortions on demand </s> </s>,2.6027004801270066
on demand </s> </s> </s>,2.6027004801270066
demand </s> </s> </s> </s>,2.6027004801270066
surgeries,2.6027004801270066
<s> <s> <s> <s> health,2.6027004801270066
<s> <s> <s> health care,2.6027004801270066
<s> <s> health care reform,2.6027004801270066
<s> health care reform legislation,2.6027004801270066
health care reform legislation is,2.6027004801270066
care reform legislation is likely,2.6027004801270066
reform legislation is likely to,2.6027004801270066
legislation is likely to mandate,2.6027004801270066
is likely to mandate free,2.6027004801270066
likely to mandate free sex,2.6027004801270066
to mandate free sex change,2.6027004801270066
mandate free sex change surgeries,2.6027004801270066
free sex change surgeries </s>,2.6027004801270066
sex change surgeries </s> </s>,2.6027004801270066
change surgeries </s> </s> </s>,2.6027004801270066
surgeries </s> </s> </s> </s>,2.6027004801270066
dunnam,2.6027004801270066
lived,2.6027004801270066
represents,2.6027004801270066
<s> <s> <s> <s> jim,2.6027004801270066
<s> <s> <s> jim dunnam,2.6027004801270066
<s> <s> jim dunnam has,2.6027004801270066
<s> jim dunnam has not,2.6027004801270066
jim dunnam has not lived,2.6027004801270066
dunnam has not lived in,2.6027004801270066
has not lived in the,2.6027004801270066
not lived in the district,2.6027004801270066
lived in the district he,2.6027004801270066
in the district he represents,2.6027004801270066
the district he represents for,2.6027004801270066
district he represents for years,2.6027004801270066
he represents for years now,2.6027004801270066
represents for years now </s>,2.6027004801270066
for years now </s> </s>,2.6027004801270066
years now </s> </s> </s>,2.6027004801270066
slow,2.6027004801270066
<s> <s> <s> when mitt,2.6027004801270066
<s> <s> when mitt romney,2.6027004801270066
<s> when mitt romney was,2.6027004801270066
when mitt romney was governor,2.6027004801270066
mitt romney was governor of,2.6027004801270066
romney was governor of massachusetts,2.6027004801270066
was governor of massachusetts we,2.6027004801270066
governor of massachusetts we didnt,2.6027004801270066
of massachusetts we didnt just,2.6027004801270066
massachusetts we didnt just slow,2.6027004801270066
we didnt just slow the,2.6027004801270066
didnt just slow the rate,2.6027004801270066
just slow the rate of,2.6027004801270066
slow the rate of growth,2.6027004801270066
the rate of growth of,2.6027004801270066
rate of growth of our,2.6027004801270066
of growth of our government,2.6027004801270066
growth of our government we,2.6027004801270066
of our government we actually,2.6027004801270066
our government we actually cut,2.6027004801270066
government we actually cut it,2.6027004801270066
we actually cut it </s>,2.6027004801270066
actually cut it </s> </s>,2.6027004801270066
cut it </s> </s> </s>,2.6027004801270066
sense,2.6027004801270066
waived,2.6027004801270066
otherwise,2.6027004801270066
suspended,2.6027004801270066
<s> <s> most of the,2.6027004801270066
<s> most of the affordable,2.6027004801270066
most of the affordable care,2.6027004801270066
of the affordable care act,2.6027004801270066
the affordable care act has,2.6027004801270066
affordable care act has already,2.6027004801270066
care act has already in,2.6027004801270066
act has already in some,2.6027004801270066
has already in some sense,2.6027004801270066
already in some sense been,2.6027004801270066
in some sense been waived,2.6027004801270066
some sense been waived or,2.6027004801270066
sense been waived or otherwise,2.6027004801270066
been waived or otherwise suspended,2.6027004801270066
waived or otherwise suspended </s>,2.6027004801270066
or otherwise suspended </s> </s>,2.6027004801270066
otherwise suspended </s> </s> </s>,2.6027004801270066
suspended </s> </s> </s> </s>,2.6027004801270066
wis,2.6027004801270066
fellow,2.6027004801270066
spree,2.6027004801270066
card,2.6027004801270066
maxed,2.6027004801270066
<s> <s> u s rep,2.6027004801270066
<s> u s rep ron,2.6027004801270066
u s rep ron kind,2.6027004801270066
s rep ron kind d,2.6027004801270066
rep ron kind d wis,2.6027004801270066
ron kind d wis and,2.6027004801270066
kind d wis and his,2.6027004801270066
d wis and his fellow,2.6027004801270066
wis and his fellow democrats,2.6027004801270066
and his fellow democrats went,2.6027004801270066
his fellow democrats went on,2.6027004801270066
fellow democrats went on a,2.6027004801270066
democrats went on a spending,2.6027004801270066
went on a spending spree,2.6027004801270066
on a spending spree and,2.6027004801270066
a spending spree and now,2.6027004801270066
spending spree and now their,2.6027004801270066
spree and now their credit,2.6027004801270066
and now their credit card,2.6027004801270066
now their credit card is,2.6027004801270066
their credit card is maxed,2.6027004801270066
credit card is maxed out,2.6027004801270066
card is maxed out </s>,2.6027004801270066
is maxed out </s> </s>,2.6027004801270066
maxed out </s> </s> </s>,2.6027004801270066
both,2.6027004801270066
adjust,2.6027004801270066
<s> <s> <s> <s> women,2.6027004801270066
<s> <s> <s> women and,2.6027004801270066
<s> <s> women and men,2.6027004801270066
<s> women and men both,2.6027004801270066
women and men both are,2.6027004801270066
and men both are making,2.6027004801270066
men both are making less,2.6027004801270066
both are making less when,2.6027004801270066
are making less when you,2.6027004801270066
making less when you adjust,2.6027004801270066
less when you adjust for,2.6027004801270066
when you adjust for inflation,2.6027004801270066
you adjust for inflation than,2.6027004801270066
adjust for inflation than when,2.6027004801270066
for inflation than when john,2.6027004801270066
inflation than when john kitzhaber,2.6027004801270066
than when john kitzhaber was,2.6027004801270066
when john kitzhaber was first,2.6027004801270066
john kitzhaber was first elected,2.6027004801270066
kitzhaber was first elected governor,2.6027004801270066
was first elected governor </s>,2.6027004801270066
first elected governor </s> </s>,2.6027004801270066
elected governor </s> </s> </s>,2.6027004801270066
<s> says mitt romney wants,2.6027004801270066
says mitt romney wants to,2.6027004801270066
mitt romney wants to get,2.6027004801270066
romney wants to get rid,2.6027004801270066
wants to get rid of,2.6027004801270066
to get rid of planned,2.6027004801270066
get rid of planned parenthood,2.6027004801270066
rid of planned parenthood </s>,2.6027004801270066
of planned parenthood </s> </s>,2.6027004801270066
planned parenthood </s> </s> </s>,2.6027004801270066
parenthood </s> </s> </s> </s>,2.6027004801270066
jonathan,2.6027004801270066
gruber,2.6027004801270066
<s> <s> <s> i dont,2.6027004801270066
<s> <s> i dont know,2.6027004801270066
<s> i dont know who,2.6027004801270066
i dont know who jonathan,2.6027004801270066
dont know who jonathan gruber,2.6027004801270066
know who jonathan gruber is,2.6027004801270066
who jonathan gruber is </s>,2.6027004801270066
jonathan gruber is </s> </s>,2.6027004801270066
gruber is </s> </s> </s>,2.6027004801270066
is </s> </s> </s> </s>,2.6027004801270066
supporter,2.6027004801270066
tweeted,2.6027004801270066
shooting,2.6027004801270066
chattanooga,2.6027004801270066
tenn,2.6027004801270066
<s> <s> <s> <s> isis,2.6027004801270066
<s> <s> <s> isis supporter,2.6027004801270066
<s> <s> isis supporter tweeted,2.6027004801270066
<s> isis supporter tweeted at,2.6027004801270066
isis supporter tweeted at 10,2.6027004801270066
supporter tweeted at 10 34,2.6027004801270066
tweeted at 10 34 a,2.6027004801270066
at 10 34 a m,2.6027004801270066
10 34 a m shooting,2.6027004801270066
34 a m shooting began,2.6027004801270066
a m shooting began at,2.6027004801270066
m shooting began at 10,2.6027004801270066
shooting began at 10 45,2.6027004801270066
began at 10 45 a,2.6027004801270066
at 10 45 a m,2.6027004801270066
10 45 a m in,2.6027004801270066
45 a m in chattanooga,2.6027004801270066
a m in chattanooga tenn,2.6027004801270066
m in chattanooga tenn </s>,2.6027004801270066
in chattanooga tenn </s> </s>,2.6027004801270066
chattanooga tenn </s> </s> </s>,2.6027004801270066
tenn </s> </s> </s> </s>,2.6027004801270066
look,2.6027004801270066
constantly,2.6027004801270066
climates,2.6027004801270066
<s> <s> if you look,2.6027004801270066
<s> if you look at,2.6027004801270066
if you look at states,2.6027004801270066
you look at states that,2.6027004801270066
look at states that are,2.6027004801270066
at states that are right,2.6027004801270066
states that are right to,2.6027004801270066
that are right to work,2.6027004801270066
are right to work they,2.6027004801270066
right to work they constantly,2.6027004801270066
to work they constantly do,2.6027004801270066
work they constantly do not,2.6027004801270066
they constantly do not have,2.6027004801270066
constantly do not have budget,2.6027004801270066
do not have budget deficits,2.6027004801270066
not have budget deficits and,2.6027004801270066
have budget deficits and they,2.6027004801270066
budget deficits and they have,2.6027004801270066
deficits and they have very,2.6027004801270066
and they have very good,2.6027004801270066
they have very good business,2.6027004801270066
have very good business climates,2.6027004801270066
very good business climates </s>,2.6027004801270066
good business climates </s> </s>,2.6027004801270066
business climates </s> </s> </s>,2.6027004801270066
climates </s> </s> </s> </s>,2.6027004801270066
burn,2.6027004801270066
limitedly,2.6027004801270066
existing,2.6027004801270066
plants,2.6027004801270066
<s> <s> what the obama,2.6027004801270066
<s> what the obama administration,2.6027004801270066
what the obama administration is,2.6027004801270066
the obama administration is going,2.6027004801270066
obama administration is going to,2.6027004801270066
administration is going to come,2.6027004801270066
is going to come out,2.6027004801270066
going to come out with,2.6027004801270066
to come out with in,2.6027004801270066
come out with in the,2.6027004801270066
out with in the next,2.6027004801270066
with in the next several,2.6027004801270066
in the next several months,2.6027004801270066
the next several months is,2.6027004801270066
next several months is youre,2.6027004801270066
several months is youre not,2.6027004801270066
months is youre not even,2.6027004801270066
is youre not even going,2.6027004801270066
youre not even going to,2.6027004801270066
not even going to be,2.6027004801270066
even going to be able,2.6027004801270066
going to be able to,2.6027004801270066
to be able to burn,2.6027004801270066
be able to burn coal,2.6027004801270066
able to burn coal very,2.6027004801270066
to burn coal very limitedly,2.6027004801270066
burn coal very limitedly in,2.6027004801270066
coal very limitedly in the,2.6027004801270066
very limitedly in the existing,2.6027004801270066
limitedly in the existing plants,2.6027004801270066
in the existing plants </s>,2.6027004801270066
the existing plants </s> </s>,2.6027004801270066
existing plants </s> </s> </s>,2.6027004801270066
plants </s> </s> </s> </s>,2.6027004801270066
catastrophic,2.6027004801270066
event,2.6027004801270066
offices,2.6027004801270066
centers,2.6027004801270066
disease,2.6027004801270066
prevention,2.6027004801270066
self,2.6027004801270066
destruct,2.6027004801270066
<s> <s> in the case,2.6027004801270066
<s> in the case of,2.6027004801270066
in the case of a,2.6027004801270066
the case of a catastrophic,2.6027004801270066
case of a catastrophic event,2.6027004801270066
of a catastrophic event the,2.6027004801270066
a catastrophic event the atlanta,2.6027004801270066
catastrophic event the atlanta area,2.6027004801270066
event the atlanta area offices,2.6027004801270066
the atlanta area offices of,2.6027004801270066
atlanta area offices of the,2.6027004801270066
area offices of the centers,2.6027004801270066
offices of the centers for,2.6027004801270066
of the centers for disease,2.6027004801270066
the centers for disease control,2.6027004801270066
centers for disease control and,2.6027004801270066
for disease control and prevention,2.6027004801270066
disease control and prevention will,2.6027004801270066
control and prevention will self,2.6027004801270066
and prevention will self destruct,2.6027004801270066
prevention will self destruct </s>,2.6027004801270066
will self destruct </s> </s>,2.6027004801270066
self destruct </s> </s> </s>,2.6027004801270066
destruct </s> </s> </s> </s>,2.6027004801270066
suggested,2.6027004801270066
based,2.6027004801270066
<s> <s> says a u,2.6027004801270066
<s> says a u s,2.6027004801270066
says a u s supreme,2.6027004801270066
a u s supreme court,2.6027004801270066
u s supreme court justice,2.6027004801270066
s supreme court justice suggested,2.6027004801270066
supreme court justice suggested that,2.6027004801270066
court justice suggested that some,2.6027004801270066
justice suggested that some u,2.6027004801270066
suggested that some u s,2.6027004801270066
that some u s cases,2.6027004801270066
some u s cases will,2.6027004801270066
u s cases will be,2.6027004801270066
s cases will be decided,2.6027004801270066
cases will be decided based,2.6027004801270066
will be decided based on,2.6027004801270066
be decided based on south,2.6027004801270066
decided based on south african,2.6027004801270066
based on south african law,2.6027004801270066
on south african law </s>,2.6027004801270066
south african law </s> </s>,2.6027004801270066
african law </s> </s> </s>,2.6027004801270066
cicilline,2.6027004801270066
guarantee,2.6027004801270066
solyndra,2.6027004801270066
<s> <s> <s> rep david,2.6027004801270066
<s> <s> rep david cicilline,2.6027004801270066
<s> rep david cicilline is,2.6027004801270066
rep david cicilline is responsible,2.6027004801270066
david cicilline is responsible for,2.6027004801270066
cicilline is responsible for the,2.6027004801270066
is responsible for the federal,2.6027004801270066
responsible for the federal loan,2.6027004801270066
for the federal loan guarantee,2.6027004801270066
the federal loan guarantee to,2.6027004801270066
federal loan guarantee to solyndra,2.6027004801270066
loan guarantee to solyndra the,2.6027004801270066
guarantee to solyndra the failed,2.6027004801270066
to solyndra the failed solar,2.6027004801270066
solyndra the failed solar company,2.6027004801270066
the failed solar company </s>,2.6027004801270066
failed solar company </s> </s>,2.6027004801270066
solar company </s> </s> </s>,2.6027004801270066
company </s> </s> </s> </s>,2.6027004801270066
item,2.6027004801270066
later,2.6027004801270066
signed,2.6027004801270066
kasich,2.6027004801270066
requires,2.6027004801270066
seeking,2.6027004801270066
undergo,2.6027004801270066
mandatory,2.6027004801270066
vaginal,2.6027004801270066
probe,2.6027004801270066
<s> <s> says ohio budget,2.6027004801270066
<s> says ohio budget item,2.6027004801270066
says ohio budget item later,2.6027004801270066
ohio budget item later signed,2.6027004801270066
budget item later signed into,2.6027004801270066
item later signed into law,2.6027004801270066
later signed into law by,2.6027004801270066
signed into law by gov,2.6027004801270066
into law by gov john,2.6027004801270066
law by gov john kasich,2.6027004801270066
by gov john kasich requires,2.6027004801270066
gov john kasich requires women,2.6027004801270066
john kasich requires women seeking,2.6027004801270066
kasich requires women seeking an,2.6027004801270066
requires women seeking an abortion,2.6027004801270066
women seeking an abortion to,2.6027004801270066
seeking an abortion to undergo,2.6027004801270066
an abortion to undergo a,2.6027004801270066
abortion to undergo a mandatory,2.6027004801270066
to undergo a mandatory vaginal,2.6027004801270066
undergo a mandatory vaginal probe,2.6027004801270066
a mandatory vaginal probe </s>,2.6027004801270066
mandatory vaginal probe </s> </s>,2.6027004801270066
vaginal probe </s> </s> </s>,2.6027004801270066
probe </s> </s> </s> </s>,2.6027004801270066
homeland,2.6027004801270066
substitutes,2.6027004801270066
disaster,2.6027004801270066
<s> we have a director,2.6027004801270066
we have a director of,2.6027004801270066
have a director of homeland,2.6027004801270066
a director of homeland security,2.6027004801270066
director of homeland security who,2.6027004801270066
of homeland security who cannot,2.6027004801270066
homeland security who cannot use,2.6027004801270066
security who cannot use and,2.6027004801270066
who cannot use and will,2.6027004801270066
cannot use and will not,2.6027004801270066
use and will not use,2.6027004801270066
and will not use the,2.6027004801270066
will not use the term,2.6027004801270066
not use the term terrorist,2.6027004801270066
use the term terrorist attack,2.6027004801270066
the term terrorist attack but,2.6027004801270066
term terrorist attack but instead,2.6027004801270066
terrorist attack but instead substitutes,2.6027004801270066
attack but instead substitutes man,2.6027004801270066
but instead substitutes man made,2.6027004801270066
instead substitutes man made disaster,2.6027004801270066
substitutes man made disaster </s>,2.6027004801270066
man made disaster </s> </s>,2.6027004801270066
made disaster </s> </s> </s>,2.6027004801270066
