Sentiment,Word
negative,abandoned
negative,abandonment
negative,abandon
negative,abase
negative,abasement
negative,abash
negative,abate
negative,abdicate
negative,aberration
negative,aberration
negative,abhor
negative,abhor
negative,abhorred
negative,abhorrence
negative,abhorrent
negative,abhorrently
negative,abhors
negative,abhors
positive,abidance
positive,abidance
positive,abide
negative,abject
negative,abjectly
negative,abjure
positive,abilities
positive,ability
positive,able
negative,abnormal
negative,abolish
negative,abominable
negative,abominably
negative,abominate
negative,abomination
positive,above
positive,above-average
positive,abound
negative,abrade
negative,abrasive
negative,abrupt
negative,abscond
negative,absence
negative,absentee
negative,absent-minded
positive,absolve
neutral,absolute
neutral,absolutely
neutral,absorbed
negative,absurd
negative,absurdity
negative,absurdly
negative,absurdness
positive,abundant
positive,abundance
negative,abuse
negative,abuse
negative,abuse
negative,abuses
negative,abuses
negative,abusive
negative,abysmal
negative,abysmally
negative,abyss
positive,accede
neutral,accentuate
positive,accept
positive,acceptance
positive,acceptable
positive,accessible
negative,accidental
positive,acclaim
positive,acclaim
positive,acclaimed
positive,acclamation
positive,accolade
positive,accolades
positive,accommodative
positive,accomplish
positive,accomplishment
positive,accomplishments
positive,accord
positive,accordance
positive,accordantly
negative,accost
negative,accountable
positive,accurate
positive,accurately
negative,accursed
negative,accusation
negative,accusation
negative,accusations
negative,accusations
negative,accuse
negative,accuses
negative,accusing
negative,accusingly
negative,acerbate
negative,acerbic
negative,acerbically
negative,ache
positive,achievable
positive,achieve
positive,achievement
positive,achievements
positive,acknowledge
positive,acknowledgement
positive,acquit
negative,acrid
negative,acridly
negative,acridness
negative,acrimonious
negative,acrimoniously
negative,acrimony
positive,active
neutral,activist
neutral,activist
neutral,actual
neutral,actuality
neutral,actually
positive,acumen
negative,adamant
negative,adamantly
positive,adaptable
positive,adaptability
positive,adaptive
negative,addict
negative,addiction
positive,adept
positive,adeptly
positive,adequate
positive,adherence
positive,adherent
positive,adhesion
positive,admirable
positive,admirer
positive,admirable
positive,admirably
positive,admiration
positive,admire
positive,admiring
positive,admiringly
positive,admission
positive,admission
positive,admit
positive,admittedly
negative,admonish
negative,admonisher
negative,admonishingly
negative,admonishment
negative,admonition
neutral,adolescents
neutral,adolescents
positive,adorable
positive,adore
positive,adored
positive,adorer
positive,adorer
positive,adoring
positive,adoringly
negative,adrift
positive,adroit
positive,adroitly
positive,adulate
positive,adulation
positive,adulatory
negative,adulterate
negative,adulterated
negative,adulteration
