,case_folding,keep_punctuation,separate_punctuation,sentence_ender_punctuation,stopword_removal,lemmatization,mean rank,mean cosine similarity,accuracy
0,True,False,False,False,True,True,2.25,0.942748833216101,0.625
1,True,False,False,False,True,False,2.5625,0.9431244575216509,0.5625
2,False,False,False,True,False,False,3.0625,0.9485006450909954,0.375
3,False,False,False,False,True,False,3.0625,0.9422129689211913,0.625
4,False,False,False,False,True,True,3.0625,0.942035274968457,0.625
5,True,False,False,True,False,True,3.125,0.9497529603103566,0.5
6,False,False,False,True,False,True,3.1875,0.9487897294553391,0.375
7,True,False,False,True,False,False,3.1875,0.949503208016817,0.4375
8,False,True,False,False,True,True,3.3125,0.9328662849965914,0.5
9,True,True,False,False,True,False,3.3125,0.9364214212546418,0.625
10,True,True,False,False,True,True,3.375,0.936137770507482,0.625
11,True,False,True,False,False,True,3.4375,0.9556036964203021,0.375
12,False,True,False,False,True,False,3.4375,0.9331391326527396,0.5
13,True,False,True,False,False,False,3.5,0.9554334307658111,0.3125
14,False,False,True,False,False,True,3.5625,0.9551528564909861,0.375
15,False,False,True,False,False,False,3.6875,0.9549423169399499,0.3125
16,False,False,False,False,False,False,3.75,0.9214263392789529,0.4375
17,False,False,True,False,True,True,3.875,0.9685030498683984,0.375
18,False,False,True,False,True,False,3.9375,0.9685618861816041,0.375
19,False,False,False,False,False,True,4.0,0.9221026263131892,0.4375
20,True,False,False,False,False,True,4.1875,0.925854246240625,0.375
21,False,False,False,True,True,False,4.1875,0.9647417503735909,0.4375
22,False,False,False,True,True,True,4.1875,0.9646619115191748,0.4375
23,True,False,False,False,False,False,4.25,0.9252774525766548,0.3125
24,False,True,False,False,False,False,4.5,0.9128136458100018,0.25
25,False,True,False,False,False,True,4.5,0.9136187156085823,0.3125
26,True,False,True,False,True,True,4.5625,0.9707721004757779,0.375
27,True,False,True,False,True,False,4.625,0.9708808788031811,0.375
28,True,False,False,True,True,True,4.8125,0.9676870819784817,0.5
29,True,True,False,False,False,False,4.875,0.9160879734705301,0.375
30,True,False,False,True,True,False,5.0,0.9678304489072773,0.4375
31,True,True,False,False,False,True,5.0625,0.9169102814498084,0.375
