,JANE
_eol_,360.0
ian,51.0
well,32.0
christian,23.0
got,22.0
ian </eol> </eol>,20.0
<eol> <eol> ian,20.0
ian </eol>,20.0
<eol> ian,20.0
get,18.0
yeah,17.0
like,16.0
want,15.0
know,14.0
go,14.0
<eol> <eol> well,14.0
<eol> well,14.0
oh,13.0
<eol> <eol> oh,12.0
time,12.0
<eol> oh,12.0
going,12.0
<eol> yeah,11.0
<eol> <eol> yeah,11.0
think,11.0
right,10.0
bit,10.0
look,10.0
steven,9.0
christian </eol> </eol>,9.0
christian </eol>,9.0
alright,8.0
course,8.0
see,8.0
one,7.0
gonna,7.0
really,7.0
idea,7.0
said,7.0
sorry,7.0
last,7.0
anything,7.0
mean,7.0
say,7.0
back,6.0
exactly,6.0
<eol> <eol> sorry,6.0
could,6.0
lucy,6.0
might,6.0
<eol> <eol> course,6.0
<eol> ian </eol>,6.0
sure,6.0
bobby,6.0
make,6.0
thing,6.0
stay,6.0
week,6.0
two,6.0
life,6.0
matter,6.0
<eol> sorry,6.0
<eol> course,6.0
u,6.0
kid,6.0
yes,5.0
way,5.0
hard,5.0
um,5.0
good,5.0
<eol> know,5.0
right </eol>,5.0
lot,5.0
<eol> <eol> like,5.0
mate,5.0
right </eol> </eol>,5.0
<eol> want,5.0
come,5.0
<eol> like,5.0
house,5.0
<eol> christian,5.0
<eol> think,5.0
yeah </eol>,5.0
fuss,5.0
<eol> <eol> know,5.0
much,5.0
done,5.0
<eol> <eol> christian,5.0
<eol> <eol> want,5.0
love,5.0
yeah </eol> </eol>,5.0
night,5.0
<eol> <eol> think,5.0
getting,4.0
<eol> <eol> exactly,4.0
<eol> really,4.0
<eol> sorry </eol>,4.0
<eol> exactly,4.0
go </eol> </eol>,4.0
party,4.0
book,4.0
big,4.0
fine,4.0
well </eol>,4.0
fruit,4.0
couple,4.0
<eol> <eol> sure,4.0
know </eol> </eol>,4.0
family,4.0
<eol> <eol> fine,4.0
husband,4.0
go </eol>,4.0
point,4.0
never,4.0
enough,4.0
worried,4.0
round,4.0
well </eol> </eol>,4.0
<eol> <eol> really,4.0
sorry </eol>,4.0
believe,4.0
thought,4.0
something,4.0
know </eol>,4.0
hope,4.0
<eol> <eol> alright,4.0
<eol> fine,4.0
still,4.0
sorry </eol> </eol>,4.0
<eol> alright,4.0
better,4.0
<eol> <eol> look,4.0
<eol> sure,4.0
word,4.0
give,4.0
<eol> look,4.0
three,3.0
like </eol>,3.0
bad,3.0
oh ian </eol>,3.0
<eol> lucy,3.0
back </eol>,3.0
dot </eol> </eol>,3.0
mate </eol>,3.0
anything </eol> </eol>,3.0
<eol> <eol> lucy,3.0
straight,3.0
well bit,3.0
dot,3.0
grant,3.0
