,norm,use_idf,smooth_idf,sublinear_tf,mean rank,mean cosine similarity,accuracy
0,l2,True,True,True,1.375,0.37840633943494617,0.75
1,,True,True,True,1.375,0.3784063394349461,0.75
2,l1,True,True,True,1.375,0.3784063394349461,0.75
3,l2,True,False,True,1.375,0.35504899157802694,0.75
4,,True,False,True,1.375,0.3550489915780269,0.75
5,l1,True,False,True,1.375,0.3550489915780269,0.75
6,,False,False,True,1.5625,0.5543101644257052,0.6875
7,l1,False,False,True,1.5625,0.5543101644257052,0.6875
8,l2,False,False,True,1.5625,0.5543101644257052,0.6875
9,,False,True,True,1.5625,0.5543101644257052,0.6875
10,l1,False,True,True,1.5625,0.5543101644257052,0.6875
11,l2,False,True,True,1.5625,0.5543101644257052,0.6875
12,l2,True,True,False,1.9375,0.9390773371244145,0.5
13,l1,True,True,False,1.9375,0.9390773371244144,0.5
14,,True,True,False,1.9375,0.9390773371244143,0.5
15,l1,True,False,False,2.0,0.9331486761448802,0.5
16,l2,True,False,False,2.0,0.9331486761448802,0.5
17,,True,False,False,2.0,0.93314867614488,0.5
18,l2,False,False,False,2.0625,0.9667236653455182,0.625
19,l2,False,True,False,2.0625,0.9667236653455182,0.625
20,,False,False,False,2.0625,0.9667236653455181,0.625
21,,False,True,False,2.0625,0.9667236653455181,0.625
22,l1,False,False,False,2.0625,0.9667236653455179,0.625
23,l1,False,True,False,2.0625,0.9667236653455179,0.625
